order_id,order_date,customer_id,product_id,employee_id,region,quantity,discount,revenue,profit
O00101,2022-01-01,C0357,P008,E0097,Central,6,0.0,3433.92,935.46
O02866,2022-01-01,C0152,P007,E0222,South,6,0.0,1182.36,507.36
O02379,2022-01-01,C0360,P019,E0004,North,1,0.0,27.04,9.25
O04122,2022-01-02,C0069,P016,E0078,Central,2,0.0,259.68,101.02
O03094,2022-01-02,C0134,P009,E0153,Central,2,0.05,459.36,152.06
O04363,2022-01-03,C0221,P023,E0135,West,6,0.05,1720.37,468.71
O00769,2022-01-03,C0077,P016,E0135,North,7,0.0,908.88,353.57
O03938,2022-01-04,C0185,P026,E0035,West,6,0.05,1500.58,596.56
O03415,2022-01-04,C0212,P006,E0005,North,3,0.0,1104.51,476.28
O01442,2022-01-04,C0291,P025,E0004,Central,6,0.0,1144.38,503.46
O04182,2022-01-05,C0156,P017,E0087,South,6,0.1,254.45,52.73
O00731,2022-01-05,C0259,P026,E0010,South,1,0.0,263.26,112.59
O01150,2022-01-06,C0396,P013,E0072,Central,1,0.15,166.34,48.94
O04518,2022-01-06,C0188,P007,E0103,East,5,0.0,985.3,422.8
O04294,2022-01-07,C0115,P010,E0121,West,6,0.0,3545.82,928.2
O00827,2022-01-07,C0320,P003,E0097,West,3,0.0,1873.53,844.11
O01996,2022-01-08,C0229,P012,E0017,West,2,0.05,251.92,98.08
O01156,2022-01-10,C0033,P003,E0172,West,6,0.15,3185.0,1126.16
O00003,2022-01-10,C0066,P025,E0109,Central,6,0.0,1144.38,503.46
O00761,2022-01-10,C0023,P006,E0109,Central,1,0.0,368.17,158.76
O02293,2022-01-11,C0021,P019,E0046,West,6,0.0,162.24,55.5
O03031,2022-01-11,C0275,P006,E0152,South,5,0.0,1840.85,793.8
O04155,2022-01-11,C0278,P021,E0001,Central,7,0.15,274.12,38.36
O03451,2022-01-12,C0188,P025,E0088,East,2,0.0,381.46,167.82
O02882,2022-01-12,C0321,P014,E0087,East,1,0.0,143.38,70.86
O02895,2022-01-12,C0018,P018,E0222,West,4,0.0,78.0,28.4
O04628,2022-01-12,C0251,P011,E0152,South,4,0.0,2108.16,919.64
O00563,2022-01-13,C0381,P010,E0005,North,4,0.0,2363.88,618.8
O00715,2022-01-13,C0159,P014,E0047,East,1,0.0,143.38,70.86
O00607,2022-01-14,C0059,P012,E0010,East,4,0.0,530.36,222.68
O03929,2022-01-15,C0111,P007,E0017,South,3,0.0,591.18,253.68
O04037,2022-01-15,C0266,P013,E0005,South,3,0.0,587.1,234.9
O03124,2022-01-15,C0087,P019,E0103,West,7,0.0,189.28,64.75
O01959,2022-01-15,C0179,P015,E0052,South,4,0.0,368.04,103.52
O04454,2022-01-15,C0181,P009,E0097,South,6,0.05,1378.09,456.19
O04815,2022-01-16,C0023,P007,E0172,Central,7,0.0,1379.42,591.92
O00558,2022-01-16,C0063,P014,E0107,North,1,0.0,143.38,70.86
O00423,2022-01-16,C0103,P026,E0052,Central,4,0.0,1053.04,450.36
O00865,2022-01-17,C0195,P019,E0001,East,4,0.15,91.94,20.78
O00679,2022-01-17,C0062,P006,E0107,East,2,0.1,662.71,243.89
O01347,2022-01-18,C0005,P002,E0135,Central,7,0.0,7432.46,3679.48
O03981,2022-01-18,C0387,P020,E0150,East,3,0.0,60.12,26.4
O03702,2022-01-19,C0213,P009,E0046,West,2,0.0,483.54,176.24
O00014,2022-01-19,C0124,P019,E0072,Central,7,0.15,160.89,36.36
O04240,2022-01-20,C0398,P016,E0078,Central,5,0.0,649.2,252.55
O02118,2022-01-20,C0324,P005,E0103,West,5,0.0,2603.4,867.05
O01543,2022-01-20,C0234,P023,E0087,West,7,0.0,2112.74,652.47
O01599,2022-01-21,C0180,P018,E0010,East,1,0.0,19.5,7.1
O00722,2022-01-22,C0261,P013,E0152,Central,1,0.0,195.7,78.3
O04966,2022-01-23,C0234,P010,E0153,West,6,0.0,3545.82,928.2
O02979,2022-01-23,C0329,P005,E0005,North,1,0.0,520.68,173.41
O01249,2022-01-23,C0270,P014,E0004,Central,6,0.0,860.28,425.16
O03337,2022-01-24,C0114,P004,E0036,West,4,0.0,4846.4,1380.48
O03509,2022-01-24,C0096,P015,E0035,West,2,0.0,184.02,51.76
O04090,2022-01-24,C0332,P022,E0179,East,3,0.0,1019.04,260.31
O04250,2022-01-25,C0294,P006,E0046,West,4,0.05,1399.05,561.41
O04608,2022-01-26,C0399,P006,E0097,North,5,0.05,1748.81,701.76
O04743,2022-01-26,C0168,P002,E0152,North,1,0.0,1061.78,525.64
O01958,2022-01-26,C0297,P012,E0021,Central,5,0.0,662.95,278.35
O00859,2022-01-27,C0196,P024,E0035,West,3,0.0,925.8,351.66
O00573,2022-02-01,C0165,P022,E0097,Central,6,0.1,1834.27,316.81
O02680,2022-02-02,C0064,P008,E0152,North,2,0.0,1144.64,311.82
O00809,2022-02-02,C0275,P026,E0103,South,6,0.05,1500.58,596.56
O00225,2022-02-02,C0183,P018,E0179,East,1,0.0,19.5,7.1
O04203,2022-02-02,C0284,P018,E0066,East,3,0.0,58.5,21.3
O00692,2022-02-02,C0321,P022,E0179,East,5,0.0,1698.4,433.85
O01638,2022-02-04,C0043,P019,E0107,West,4,0.0,108.16,37.0
O02461,2022-02-05,C0177,P006,E0078,Central,6,0.0,2209.02,952.56
O00097,2022-02-06,C0264,P002,E0135,Central,4,0.15,3610.05,1465.49
O03654,2022-02-06,C0381,P022,E0121,North,4,0.1,1222.85,211.21
O02133,2022-02-06,C0301,P010,E0064,West,1,0.15,502.32,66.05
O04992,2022-02-07,C0124,P002,E0072,Central,3,0.0,3185.34,1576.92
O04700,2022-02-08,C0187,P019,E0162,West,2,0.0,54.08,18.5
O02689,2022-02-08,C0176,P007,E0153,West,7,0.0,1379.42,591.92
O00353,2022-02-08,C0139,P002,E0126,North,7,0.0,7432.46,3679.48
O01109,2022-02-08,C0021,P014,E0074,West,6,0.0,860.28,425.16
O01915,2022-02-08,C0021,P017,E0150,West,7,0.0,329.84,94.5
O02617,2022-02-09,C0229,P022,E0097,West,7,0.05,2258.87,488.5
O00286,2022-02-09,C0083,P007,E0179,Central,2,0.15,335.0,110.0
O03506,2022-02-10,C0279,P015,E0078,Central,5,0.0,460.05,129.4
O00638,2022-02-11,C0309,P002,E0193,East,2,0.0,2123.56,1051.28
O02729,2022-02-11,C0399,P021,E0162,North,1,0.1,41.46,7.78
O00370,2022-02-11,C0344,P022,E0162,South,2,0.1,611.42,105.6
O04925,2022-02-12,C0008,P008,E0052,West,7,0.0,4006.24,1091.37
O04725,2022-02-12,C0285,P018,E0017,Central,2,0.0,39.0,14.2
O00965,2022-02-12,C0149,P003,E0046,East,2,0.0,1249.02,562.74
O02349,2022-02-12,C0373,P020,E0097,South,3,0.0,60.12,26.4
O04850,2022-02-13,C0047,P004,E0162,West,4,0.0,4846.4,1380.48
O03614,2022-02-13,C0326,P003,E0222,East,6,0.1,3372.35,1313.51
O04630,2022-02-13,C0289,P024,E0087,North,7,0.1,1944.18,604.52
O04181,2022-02-13,C0048,P023,E0066,West,6,0.0,1810.92,559.26
O03752,2022-02-13,C0163,P004,E0079,East,6,0.1,6542.64,1343.76
O03641,2022-02-14,C0111,P015,E0135,South,1,0.0,92.01,25.88
O02854,2022-02-14,C0030,P026,E0072,South,6,0.1,1421.6,517.58
O00226,2022-02-15,C0394,P017,E0193,East,7,0.0,329.84,94.5
O02110,2022-02-15,C0237,P007,E0187,South,4,0.0,788.24,338.24
O00660,2022-02-15,C0244,P008,E0222,Central,6,0.05,3262.22,763.76
O00271,2022-02-15,C0294,P021,E0021,West,1,0.0,46.07,12.39
O02124,2022-02-16,C0018,P015,E0064,West,4,0.15,312.83,48.31
O01711,2022-02-16,C0239,P007,E0150,North,2,0.0,394.12,169.12
O01323,2022-02-16,C0088,P003,E0121,West,4,0.0,2498.04,1125.48
O02683,2022-02-17,C0369,P009,E0121,West,5,0.1,1087.97,319.72
O01847,2022-02-17,C0048,P001,E0047,West,5,0.0,5338.7,1794.45
O01104,2022-02-17,C0071,P021,E0121,East,6,0.0,276.42,74.34
O00167,2022-02-17,C0251,P021,E0021,South,2,0.0,92.14,24.78
O02971,2022-02-19,C0250,P013,E0162,South,5,0.0,978.5,391.5
O03352,2022-02-20,C0318,P007,E0235,North,1,0.0,197.06,84.56
O00323,2022-02-20,C0067,P007,E0017,South,4,0.0,788.24,338.24
O03866,2022-02-21,C0288,P013,E0035,South,6,0.0,1174.2,469.8
O04585,2022-02-21,C0180,P016,E0152,East,5,0.0,649.2,252.55
O01821,2022-02-22,C0314,P024,E0235,East,2,0.0,617.2,234.44
O01410,2022-02-22,C0065,P016,E0152,South,3,0.1,350.57,112.58
O01807,2022-02-22,C0192,P006,E0187,Central,5,0.05,1748.81,701.76
O01424,2022-02-22,C0008,P006,E0047,West,5,0.1,1656.76,609.71
O03147,2022-02-23,C0076,P007,E0017,West,4,0.05,748.83,298.83
O02746,2022-02-24,C0048,P014,E0087,West,4,0.0,573.52,283.44
O03901,2022-02-24,C0165,P014,E0088,Central,2,0.0,286.76,141.72
O00283,2022-02-24,C0255,P018,E0150,North,5,0.0,97.5,35.5
O04057,2022-02-24,C0283,P010,E0172,Central,7,0.0,4136.79,1082.9
O04131,2022-02-24,C0210,P021,E0151,North,2,0.1,82.93,15.57
O01032,2022-02-25,C0182,P021,E0126,Central,7,0.0,322.49,86.73
O00812,2022-02-26,C0067,P007,E0021,South,4,0.05,748.83,298.83
O04007,2022-02-27,C0336,P018,E0193,North,1,0.0,19.5,7.1
O02826,2022-03-01,C0348,P015,E0010,South,2,0.0,184.02,51.76
O04864,2022-03-01,C0311,P004,E0097,North,5,0.0,6058.0,1725.6
O00837,2022-03-01,C0041,P003,E0179,West,4,0.0,2498.04,1125.48
O02881,2022-03-01,C0317,P026,E0066,East,3,0.0,789.78,337.77
O00481,2022-03-01,C0302,P025,E0152,South,5,0.0,953.65,419.55
O01457,2022-03-02,C0185,P013,E0064,West,1,0.05,185.92,68.52
O01775,2022-03-03,C0119,P008,E0047,North,7,0.0,4006.24,1091.37
O04877,2022-03-04,C0186,P003,E0088,West,5,0.05,2966.42,1250.72
O00011,2022-03-05,C0116,P023,E0004,East,1,0.0,301.82,93.21
O04138,2022-03-05,C0073,P018,E0097,South,4,0.0,78.0,28.4
O04830,2022-03-05,C0306,P012,E0109,Central,5,0.0,662.95,278.35
O04939,2022-03-06,C0256,P016,E0193,East,1,0.0,129.84,50.51
O03599,2022-03-06,C0334,P012,E0010,North,3,0.0,397.77,167.01
O04119,2022-03-06,C0108,P019,E0222,West,3,0.0,81.12,27.75
O02650,2022-03-06,C0108,P012,E0036,West,3,0.0,397.77,167.01
O04231,2022-03-08,C0234,P006,E0047,West,7,0.05,2448.33,982.46
O01689,2022-03-08,C0084,P024,E0017,North,1,0.1,277.74,86.36
O00976,2022-03-09,C0111,P003,E0097,South,2,0.0,1249.02,562.74
O02153,2022-03-09,C0321,P001,E0107,East,1,0.0,1067.74,358.89
O02055,2022-03-09,C0255,P016,E0004,North,5,0.1,584.28,187.63
O04811,2022-03-09,C0049,P002,E0001,Central,5,0.0,5308.9,2628.2
O01923,2022-03-09,C0262,P016,E0017,South,3,0.1,350.57,112.58
O01300,2022-03-10,C0104,P016,E0126,Central,7,0.05,863.44,308.13
O03539,2022-03-10,C0027,P020,E0064,East,3,0.0,60.12,26.4
O03139,2022-03-10,C0198,P001,E0035,West,6,0.05,6086.12,1833.02
O01411,2022-03-10,C0303,P010,E0121,West,5,0.0,2954.85,773.5
O02530,2022-03-11,C0232,P026,E0107,South,6,0.05,1500.58,596.56
O01387,2022-03-11,C0001,P005,E0005,East,6,0.05,2967.88,884.26
O04415,2022-03-12,C0181,P019,E0172,South,1,0.05,25.69,7.9
O03210,2022-03-12,C0035,P021,E0064,West,1,0.0,46.07,12.39
O00851,2022-03-12,C0341,P024,E0066,South,1,0.05,293.17,101.79
O02405,2022-03-13,C0380,P015,E0109,North,4,0.0,368.04,103.52
O01138,2022-03-13,C0203,P007,E0010,Central,5,0.0,985.3,422.8
O02824,2022-03-13,C0237,P023,E0001,South,5,0.0,1509.1,466.05
O03632,2022-03-14,C0068,P010,E0021,West,2,0.1,1063.75,191.21
O02385,2022-03-14,C0010,P004,E0005,South,3,0.0,3634.8,1035.36
O03926,2022-03-14,C0046,P014,E0036,West,2,0.1,258.08,113.04
O01621,2022-03-15,C0191,P020,E0153,East,4,0.0,80.16,35.2
O04806,2022-03-15,C0102,P023,E0150,East,7,0.0,2112.74,652.47
O02901,2022-03-15,C0334,P008,E0088,North,1,0.0,572.32,155.91
O00038,2022-03-15,C0301,P007,E0179,West,6,0.0,1182.36,507.36
